"Trait" "Rep" "Acc.TotGen" "Model"
"1" "DM" 1 0.631134486506545 "GG_IMP2"
"2" "DM" 2 0.626405729359082 "GG_IMP2"
"3" "DM" 3 0.57248034032055 "GG_IMP2"
"4" "DM" 4 0.627171688141496 "GG_IMP2"
"5" "DM" 5 0.618310882675112 "GG_IMP2"
"6" "DM" 6 0.597006289636169 "GG_IMP2"
"7" "DM" 7 0.635423616630456 "GG_IMP2"
"8" "DM" 8 0.593155102799566 "GG_IMP2"
"9" "DM" 9 0.632740071443284 "GG_IMP2"
"10" "DM" 10 0.655745967153504 "GG_IMP2"
"11" "DM" 11 0.630631937184002 "GG_IMP2"
"12" "DM" 12 0.636166718361273 "GG_IMP2"
"13" "DM" 13 0.649284209253111 "GG_IMP2"
"14" "DM" 14 0.626972646147448 "GG_IMP2"
"15" "DM" 15 0.629583919714523 "GG_IMP2"
"16" "DM" 16 0.637828015397577 "GG_IMP2"
"17" "DM" 17 0.663270605566639 "GG_IMP2"
"18" "DM" 18 0.634412754848279 "GG_IMP2"
"19" "DM" 19 0.600507164534712 "GG_IMP2"
"20" "DM" 20 0.63114178075096 "GG_IMP2"
"21" "DM" 21 0.628968232342132 "GG_IMP2"
"22" "DM" 22 0.655981340177701 "GG_IMP2"
"23" "DM" 23 0.661693192239947 "GG_IMP2"
"24" "DM" 24 0.610382611927676 "GG_IMP2"
"25" "DM" 25 0.608590214760061 "GG_IMP2"
"26" "logRTWT" 1 0.251046136354242 "GG_IMP2"
"27" "logRTWT" 2 0.256313647057947 "GG_IMP2"
"28" "logRTWT" 3 0.286548240033679 "GG_IMP2"
"29" "logRTWT" 4 0.259775196267852 "GG_IMP2"
"30" "logRTWT" 5 0.277997251242371 "GG_IMP2"
"31" "logRTWT" 6 0.218730024719449 "GG_IMP2"
"32" "logRTWT" 7 0.260148260241461 "GG_IMP2"
"33" "logRTWT" 8 0.254982010735998 "GG_IMP2"
"34" "logRTWT" 9 0.282862065760159 "GG_IMP2"
"35" "logRTWT" 10 0.257172566223471 "GG_IMP2"
"36" "logRTWT" 11 0.305648025043632 "GG_IMP2"
"37" "logRTWT" 12 0.300118751730647 "GG_IMP2"
"38" "logRTWT" 13 0.231383987091156 "GG_IMP2"
"39" "logRTWT" 14 0.260469352247535 "GG_IMP2"
"40" "logRTWT" 15 0.253422224975471 "GG_IMP2"
"41" "logRTWT" 16 0.29519431924277 "GG_IMP2"
"42" "logRTWT" 17 0.314868419854857 "GG_IMP2"
"43" "logRTWT" 18 0.208739788346663 "GG_IMP2"
"44" "logRTWT" 19 0.317474027292999 "GG_IMP2"
